token	corpus size	contexts size	frequency	co-frequency	specificity
l	93016	13107	3644	1671	490.21
de	93016	13107	4240	774	14.66
d	93016	13107	2525	437	6.22
la	93016	13107	2492	325	-2.14
est	93016	13107	1173	292	22.63
et	93016	13107	1952	274	-1.58
un	93016	13107	1175	256	12.70
le	93016	13107	1625	220	-1.63
une	93016	13107	1177	179	1.75
dans	93016	13107	978	170	3.28
que	93016	13107	1076	153	1.46
en	93016	13107	1141	134	-2.63
les	93016	13107	1335	127	-7.07
r	93016	13107	973	112	-2.64
qui	93016	13107	795	101	-1.65
des	93016	13107	1003	98	-5.11
a	93016	13107	519	94	2.75
comme	93016	13107	370	89	6.97
s	93016	13107	934	89	-5.25
il	93016	13107	756	88	-2.21
pour	93016	13107	618	87	1.33
nous	93016	13107	643	86	-1.39
n	93016	13107	549	85	1.51
au	93016	13107	425	80	2.88
pas	93016	13107	515	77	1.37
du	93016	13107	637	76	-1.87
espoir	93016	13107	1834	74	-46.41
ce	93016	13107	562	61	-2.41
peut	93016	13107	301	60	2.91
sur	93016	13107	424	60	1.25
plus	93016	13107	478	60	-1.47
qu	93016	13107	479	58	-1.61
ne	93016	13107	398	55	-1.24
t	93016	13107	437	53	-1.55
c	93016	13107	396	53	-1.27
th	93016	13107	175	47	5.40
se	93016	13107	361	46	-1.32
vous	93016	13107	381	44	-1.66
on	93016	13107	374	43	-1.67
par	93016	13107	456	43	-3.18
vie	93016	13107	285	42	1.20
e	93016	13107	475	41	-4.08
ou	93016	13107	375	40	-2.03
fait	93016	13107	176	40	3.20
y	93016	13107	182	40	2.93
re	93016	13107	314	40	-1.28
tre	93016	13107	331	37	-1.70
m	93016	13107	548	37	-7.57
donner	93016	13107	77	37	12.03
force	93016	13107	80	36	10.69
esp	93016	13107	410	36	-3.51
mais	93016	13107	266	36	-1.16
cette	93016	13107	271	30	-1.59
entre	93016	13107	128	29	2.54
son	93016	13107	197	28	1.09
sespoir	93016	13107	162	28	1.36
sans	93016	13107	121	27	2.35
car	93016	13107	81	27	5.18
o	93016	13107	119	27	2.43
vivre	93016	13107	84	26	4.41
pouvoir	93016	13107	68	25	5.69
orie	93016	13107	45	24	9.24
trouver	93016	13107	46	23	8.18
rance	93016	13107	234	23	-1.90
cet	93016	13107	76	22	3.43
snyder	93016	13107	69	22	4.06
notre	93016	13107	202	22	-1.45
si	93016	13107	169	22	-1.08
me	93016	13107	354	21	-6.30
sa	93016	13107	181	21	-1.25
ont	93016	13107	119	20	1.16
philosophie	93016	13107	47	20	5.82
tout	93016	13107	177	20	-1.29
v	93016	13107	156	20	-1.07
pr	93016	13107	281	20	-3.96
elle	93016	13107	197	20	-1.63
comment	93016	13107	68	20	3.27
sont	93016	13107	185	19	-1.54
sens	93016	13107	99	19	1.42
avec	93016	13107	248	19	-3.18
ainsi	93016	13107	126	19	1.03
bien	93016	13107	177	19	-1.40
je	93016	13107	240	19	-2.93
chr	93016	13107	58	19	3.77
aussi	93016	13107	138	18	-1.03
avoir	93016	13107	80	18	1.86
avenir	93016	13107	130	18	1.00
toujours	93016	13107	94	17	1.22
j	93016	13107	223	17	-2.96
non	93016	13107	98	17	1.15
leur	93016	13107	165	17	-1.46
chez	93016	13107	80	17	1.62
cultiver	93016	13107	22	16	9.14
selon	93016	13107	74	16	1.62
niveau	93016	13107	28	16	6.93
attente	93016	13107	70	15	1.54
seulement	93016	13107	61	15	1.95
tant	93016	13107	77	15	1.31
nourrir	93016	13107	22	15	8.00
p	93016	13107	167	14	-2.07
ses	93016	13107	147	14	-1.56
donc	93016	13107	77	14	1.15
sujet	93016	13107	61	14	1.66
chapitre	93016	13107	19	14	8.18
garder	93016	13107	19	13	7.03
sentiment	93016	13107	78	13	1.01
ces	93016	13107	114	13	-1.09
appara	93016	13107	30	13	4.11
partie	93016	13107	39	13	2.87
crainte	93016	13107	34	13	3.48
dimension	93016	13107	59	13	1.49
politique	93016	13107	62	13	1.38
ussite	93016	13107	21	12	5.34
diff	93016	13107	73	12	0.97
ritable	93016	13107	21	12	5.34
moteur	93016	13107	21	12	5.34
jamais	93016	13107	51	12	1.58
dit	93016	13107	85	12	0.91
votre	93016	13107	83	12	0.91
action	93016	13107	80	12	0.92
esprit	93016	13107	52	11	1.29
capacit	93016	13107	48	11	1.45
fran	93016	13107	53	11	1.25
tait	93016	13107	66	11	0.96
alors	93016	13107	65	11	0.97
celui	93016	13107	61	11	1.04
avons	93016	13107	47	11	1.50
ai	93016	13107	67	11	0.95
lorsque	93016	13107	54	11	1.22
silience	93016	13107	43	11	1.71
analyse	93016	13107	56	11	1.16
voir	93016	13107	60	10	0.93
tat	93016	13107	42	10	1.45
cr	93016	13107	50	10	1.14
perdu	93016	13107	17	10	4.68
stabilisante	93016	13107	10	10	8.51
dieu	93016	13107	126	10	-1.88
foi	93016	13107	65	10	0.89
psychologique	93016	13107	47	10	1.24
chose	93016	13107	71	10	0.87
seul	93016	13107	35	10	1.90
leurs	93016	13107	85	10	-0.96
donne	93016	13107	39	10	1.62
permet	93016	13107	38	10	1.68
g	93016	13107	123	10	-1.79
grandit	93016	13107	4	10	-16.12
conomie	93016	13107	53	10	1.06
technologies	93016	13107	12	10	6.82
clinique	93016	13107	55	10	1.01
consid	93016	13107	53	9	0.92
caract	93016	13107	38	9	1.36
deux	93016	13107	89	9	-1.13
devient	93016	13107	23	9	2.67
agit	93016	13107	37	9	1.41
te	93016	13107	119	9	-1.93
implique	93016	13107	26	9	2.29
art	93016	13107	35	9	1.53
quelque	93016	13107	65	9	0.85
monde	93016	13107	97	9	-1.31
quence	93016	13107	29	9	1.98
quand	93016	13107	86	9	-1.08
rer	93016	13107	178	9	-4.21
livre	93016	13107	31	9	1.81
notamment	93016	13107	39	9	1.31
peu	93016	13107	41	9	1.23
notion	93016	13107	29	9	1.98
bon	93016	13107	26	9	2.29
dont	93016	13107	69	9	0.86
place	93016	13107	35	9	1.53
ils	93016	13107	145	9	-2.85
devenir	93016	13107	31	9	1.81
essentiel	93016	13107	22	8	2.23
na	93016	13107	22	8	2.23
fa	93016	13107	71	8	-0.94
peur	93016	13107	28	8	1.64
in	93016	13107	39	8	1.06
concept	93016	13107	22	8	2.23
autres	93016	13107	93	8	-1.41
motion	93016	13107	37	8	1.13
forme	93016	13107	55	8	0.82
souvent	93016	13107	68	8	-0.90
id	93016	13107	67	8	-0.89
contre	93016	13107	54	8	0.83
galement	93016	13107	57	8	0.82
reste	93016	13107	25	8	1.90
amour	93016	13107	50	8	0.85
del	93016	13107	27	8	1.72
importance	93016	13107	30	8	1.49
entretenir	93016	13107	13	8	4.03
faire	93016	13107	126	8	-2.49
dire	93016	13107	84	8	-1.18
button	93016	13107	125	8	-2.46
li	93016	13107	33	8	1.32
int	93016	13107	92	8	-1.38
u	93016	13107	86	8	-1.23
es	93016	13107	149	8	-3.42
propos	93016	13107	31	8	1.43
quoi	93016	13107	38	8	1.10
conception	93016	13107	29	8	1.56
moral	93016	13107	26	8	1.80
rapeutique	93016	13107	34	8	1.26
essai	93016	13107	51	8	0.84
temps	93016	13107	71	7	-1.06
voix	93016	13107	14	7	2.88
essentielle	93016	13107	14	7	2.88
signifie	93016	13107	26	7	1.39
individus	93016	13107	45	7	0.81
finition	93016	13107	24	7	1.54
contraire	93016	13107	29	7	1.22
ici	93016	13107	42	7	0.83
malgr	93016	13107	38	7	0.90
face	93016	13107	68	7	-0.99
ment	93016	13107	54	7	0.81
message	93016	13107	14	7	2.88
contemplations	93016	13107	14	7	2.88
sein	93016	13107	21	7	1.82
gime	93016	13107	23	7	1.62
valeur	93016	13107	31	7	1.12
faut	93016	13107	70	7	-1.03
perdre	93016	13107	9	7	4.53
va	93016	13107	49	7	0.79
autre	93016	13107	94	7	-1.69
apr	93016	13107	47	7	0.80
aide	93016	13107	34	7	1.01
quel	93016	13107	21	7	1.82
travers	93016	13107	36	7	0.95
grand	93016	13107	38	7	0.90
vraiment	93016	13107	27	7	1.33
encore	93016	13107	96	7	-1.75
bible	93016	13107	40	7	0.86
trois	93016	13107	22	7	1.72
faux	93016	13107	19	7	2.05
lui	93016	13107	149	7	-3.88
flexion	93016	13107	21	7	1.82
puissance	93016	13107	22	7	1.72
conomique	93016	13107	27	7	1.33
constitue	93016	13107	25	7	1.46
mieux	93016	13107	46	7	0.80
tr	93016	13107	57	7	-0.83
processus	93016	13107	45	6	0.77
effets	93016	13107	19	6	1.53
scientifiques	93016	13107	17	6	1.74
side	93016	13107	11	6	2.77
psychologie	93016	13107	46	6	0.77
ant	93016	13107	24	6	1.16
encourager	93016	13107	9	6	3.38
confiance	93016	13107	100	6	-2.23
divine	93016	13107	20	6	1.44
impact	93016	13107	10	6	3.05
quotidien	93016	13107	13	6	2.33
aux	93016	13107	137	6	-3.84
hope	93016	13107	31	6	0.89
crit	93016	13107	40	6	0.76
nature	93016	13107	31	6	0.89
voit	93016	13107	28	6	0.98
victor	93016	13107	15	6	2.00
part	93016	13107	32	6	0.86
associ	93016	13107	27	6	1.02
flux	93016	13107	35	6	0.81
pourquoi	93016	13107	33	6	0.84
oui	93016	13107	25	6	1.11
quelle	93016	13107	26	6	1.06
mots	93016	13107	28	6	0.98
cessaire	93016	13107	19	6	1.53
absence	93016	13107	14	6	2.16
cependant	93016	13107	40	6	0.76
litt	93016	13107	33	6	0.84
approche	93016	13107	31	6	0.89
prend	93016	13107	14	6	2.16
semez	93016	13107	2	6	-12.21
poss	93016	13107	13	6	2.33
maladie	93016	13107	59	6	-0.95
tienne	93016	13107	37	6	0.78
tien	93016	13107	18	6	1.63
sultats	93016	13107	20	6	1.44
bergeret	93016	13107	16	6	1.86
dernier	93016	13107	36	5	0.72
recherches	93016	13107	22	5	0.96
moments	93016	13107	26	5	0.82
essence	93016	13107	6	5	3.54
att	93016	13107	10	5	2.18
nuer	93016	13107	7	5	3.07
objectifs	93016	13107	58	5	-1.09
fis	93016	13107	22	5	0.96
favorise	93016	13107	9	5	2.42
gr	93016	13107	35	5	0.72
jpg	93016	13107	19	5	1.11
fl	93016	13107	17	5	1.26
existence	93016	13107	41	5	0.76
sent	93016	13107	69	5	-1.43
humaine	93016	13107	37	5	0.73
changement	93016	13107	44	5	-0.79
central	93016	13107	11	5	1.99
puissant	93016	13107	11	5	1.99
mani	93016	13107	49	5	-0.88
objet	93016	13107	28	5	0.78
transformation	93016	13107	32	5	0.73
faible	93016	13107	15	5	1.44
fond	93016	13107	23	5	0.92
ve	93016	13107	25	5	0.85
sir	93016	13107	52	5	-0.94
nouveau	93016	13107	25	5	0.85
aider	93016	13107	25	5	0.85
retrouv	93016	13107	7	5	3.07
comprendre	93016	13107	17	5	1.26
hommes	93016	13107	21	5	1.00
gardons	93016	13107	5	5	4.26
semble	93016	13107	34	5	0.72
incertitude	93016	13107	42	5	-0.77
soci	93016	13107	36	5	0.72
b	93016	13107	59	5	-1.12
pouvez	93016	13107	24	5	0.88
source	93016	13107	39	5	0.74
moins	93016	13107	51	5	-0.92
h	93016	13107	50	5	-0.90
vient	93016	13107	23	5	0.92
exil	93016	13107	24	5	0.88
volution	93016	13107	19	5	1.11
rature	93016	13107	22	5	0.96
ceux	93016	13107	61	5	-1.17
tu	93016	13107	26	5	0.82
rence	93016	13107	36	5	0.72
exp	93016	13107	69	5	-1.43
authentique	93016	13107	10	5	2.18
mon	93016	13107	35	5	0.72
vertus	93016	13107	16	5	1.34
culture	93016	13107	21	5	1.00
eux	93016	13107	33	5	0.73
mot	93016	13107	36	4	-0.74
avez	93016	13107	20	4	0.77
grands	93016	13107	12	4	1.24
joue	93016	13107	8	4	1.82
strat	93016	13107	24	4	0.70
favoriser	93016	13107	7	4	2.06
toutes	93016	13107	31	4	0.69
perspective	93016	13107	44	4	-0.91
pleine	93016	13107	17	4	0.89
aspiration	93016	13107	13	4	1.14
croyance	93016	13107	31	4	0.69
aliser	93016	13107	18	4	0.84
positives	93016	13107	15	4	0.99
optimisme	93016	13107	52	4	-1.14
renforcer	93016	13107	15	4	0.99
adversit	93016	13107	28	4	0.68
favorisant	93016	13107	16	4	0.94
fondement	93016	13107	11	4	1.35
divin	93016	13107	13	4	1.14
profond	93016	13107	26	4	0.68
transcende	93016	13107	6	4	2.36
sesp	93016	13107	59	4	-1.37
aucun	93016	13107	12	4	1.24
notions	93016	13107	12	4	1.24
depuis	93016	13107	32	4	0.70
paris	93016	13107	32	4	0.70
po	93016	13107	44	4	-0.91
vertu	93016	13107	24	4	0.70
repr	93016	13107	42	4	-0.86
point	93016	13107	36	4	-0.74
exprimer	93016	13107	7	4	2.06
obscurit	93016	13107	9	4	1.63
social	93016	13107	18	4	0.84
with	93016	13107	16	4	0.94
manifeste	93016	13107	8	4	1.82
vers	93016	13107	66	4	-1.64
ris	93016	13107	10	4	1.48
invitation	93016	13107	5	4	2.77
effet	93016	13107	73	4	-1.92
pourtant	93016	13107	31	4	0.69
fois	93016	13107	47	4	-0.99
perte	93016	13107	10	4	1.48
vouloir	93016	13107	11	4	1.35
confort	93016	13107	14	4	1.06
joie	93016	13107	22	4	0.73
commentaires	93016	13107	30	4	0.68
motivation	93016	13107	30	4	0.68
porte	93016	13107	20	4	0.77
horizon	93016	13107	14	4	1.06
nos	93016	13107	104	4	-3.34
retrouver	93016	13107	6	4	2.36
terme	93016	13107	27	4	0.68
afin	93016	13107	31	4	0.69
ouvrage	93016	13107	11	4	1.35
propre	93016	13107	25	4	0.69
soit	93016	13107	52	4	-1.14
cl	93016	13107	12	4	1.24
voil	93016	13107	17	4	0.89
trouve	93016	13107	18	4	0.84
yeux	93016	13107	13	4	1.14
doit	93016	13107	29	4	0.68
faites	93016	13107	10	4	1.48
conseils	93016	13107	15	4	0.99
humain	93016	13107	38	4	-0.78
parce	93016	13107	55	4	-1.24
limite	93016	13107	8	4	1.82
usage	93016	13107	9	4	1.63
produit	93016	13107	17	4	0.89
vu	93016	13107	16	4	0.94
signification	93016	13107	18	4	0.84
alit	93016	13107	36	4	-0.74
sociale	93016	13107	26	4	0.68
per	93016	13107	24	4	0.70
parfois	93016	13107	38	4	-0.78
survie	93016	13107	12	4	1.24
lequel	93016	13107	24	4	0.70
lors	93016	13107	28	4	0.68
abandonnez	93016	13107	5	4	2.77
perdez	93016	13107	3	4	-0.96
beaucoup	93016	13107	23	4	0.71
trop	93016	13107	26	4	0.68
enseignements	93016	13107	7	4	2.06
avant	93016	13107	27	4	0.68
envisager	93016	13107	16	4	0.94
graines	93016	13107	2	4	-5.45
transactionnelle	93016	13107	24	4	0.70
comportement	93016	13107	10	4	1.48
comportementale	93016	13107	16	4	0.94
f	93016	13107	58	4	-1.34
dewey	93016	13107	59	4	-1.37
cas	93016	13107	43	4	-0.89
celle	93016	13107	43	4	-0.89
lev	93016	13107	10	4	1.48
points	93016	13107	14	4	1.06
sence	93016	13107	19	4	0.81
sente	93016	13107	29	4	0.68
repose	93016	13107	17	4	0.89
ton	93016	13107	14	4	1.06
christ	93016	13107	23	4	0.71
partager	93016	13107	25	4	0.69
chiel	93016	13107	10	4	1.48
vont	93016	13107	17	4	0.89
babylone	93016	13107	12	4	1.24
max	93016	13107	28	4	0.68
ok	93016	13107	12	4	1.24
jeune	93016	13107	15	4	0.99
travail	93016	13107	37	4	-0.76
qvt	93016	13107	4	4	3.40
entreprises	93016	13107	4	4	3.40
texte	93016	13107	22	4	0.73
gral	93016	13107	6	4	2.36
canc	93016	13107	30	4	0.68
rologie	93016	13107	20	4	0.77
produire	93016	13107	8	4	1.82
rapeutiques	93016	13107	25	4	0.69
justifier	93016	13107	9	4	1.63
mobilisation	93016	13107	5	4	2.77
patients	93016	13107	61	4	-1.45
malades	93016	13107	50	4	-1.08
vis	93016	13107	23	4	0.71
nouvel	93016	13107	8	4	1.82
malade	93016	13107	23	4	0.71
gestion	93016	13107	9	4	1.63
plac	93016	13107	12	4	1.24
benjamin	93016	13107	10	4	1.48
bonheur	93016	13107	46	4	-0.96
cancer	93016	13107	51	4	-1.11
juif	93016	13107	7	4	2.06
existe	93016	13107	26	3	0.66
anticipation	93016	13107	24	3	0.63
positive	93016	13107	40	3	-1.00
cognitif	93016	13107	11	3	0.86
pourrait	93016	13107	38	3	-0.94
but	93016	13107	56	3	-1.61
accueil	93016	13107	19	3	0.62
seule	93016	13107	15	3	0.69
puissante	93016	13107	8	3	1.13
montrent	93016	13107	11	3	0.86
principaux	93016	13107	4	3	2.02
renfor	93016	13107	8	3	1.13
croissance	93016	13107	6	3	1.45
mettent	93016	13107	13	3	0.76
attentes	93016	13107	31	3	-0.75
sant	93016	13107	51	3	-1.40
activement	93016	13107	7	3	1.27
nouvelles	93016	13107	13	3	0.76
spirituelle	93016	13107	12	3	0.80
velopper	93016	13107	9	3	1.02
passion	93016	13107	17	3	0.64
titre	93016	13107	13	3	0.76
distinguer	93016	13107	6	3	1.45
illusion	93016	13107	14	3	0.72
mal	93016	13107	39	3	-0.97
all	93016	13107	14	3	0.72
sous	93016	13107	27	3	0.67
sociologie	93016	13107	6	3	1.45
gorie	93016	13107	5	3	1.69
elpis	93016	13107	12	3	0.80
tique	93016	13107	11	3	0.86
artistes	93016	13107	7	3	1.27
oeuvres	93016	13107	33	3	-0.80
milieu	93016	13107	14	3	0.72
montre	93016	13107	19	3	0.62
symbole	93016	13107	3	3	2.55
raison	93016	13107	44	3	-1.14
philosophique	93016	13107	25	3	0.64
infini	93016	13107	17	3	0.64
homme	93016	13107	55	3	-1.56
peuvent	93016	13107	69	3	-2.19
justice	93016	13107	7	3	1.27
paix	93016	13107	20	3	0.62
concr	93016	13107	17	3	0.64
laquelle	93016	13107	29	3	-0.71
juste	93016	13107	17	3	0.64
lutte	93016	13107	21	3	0.62
gu	93016	13107	48	3	-1.28
rir	93016	13107	14	3	0.72
contexte	93016	13107	28	3	-0.69
expression	93016	13107	18	3	0.63
res	93016	13107	47	3	-1.25
tel	93016	13107	13	3	0.76
mauvais	93016	13107	6	3	1.45
chant	93016	13107	4	3	2.02
rent	93016	13107	28	3	-0.69
vrai	93016	13107	15	3	0.69
demande	93016	13107	18	3	0.63
parcours	93016	13107	17	3	0.64
cela	93016	13107	84	3	-2.92
production	93016	13107	9	3	1.02
puisque	93016	13107	6	3	1.45
suppose	93016	13107	9	3	1.02
telle	93016	13107	27	3	0.67
rapport	93016	13107	30	3	-0.73
abord	93016	13107	20	3	0.62
manque	93016	13107	11	3	0.86
crire	93016	13107	9	3	1.02
important	93016	13107	15	3	0.69
acte	93016	13107	11	3	0.86
volont	93016	13107	32	3	-0.77
json	93016	13107	22	3	0.62
oembed	93016	13107	22	3	0.62
forces	93016	13107	14	3	0.72
curit	93016	13107	12	3	0.80
long	93016	13107	21	3	0.62
lien	93016	13107	29	3	-0.71
sc	93016	13107	20	3	0.62
davantage	93016	13107	16	3	0.66
actions	93016	13107	24	3	0.63
lib	93016	13107	20	3	0.62
pouvons	93016	13107	21	3	0.62
ais	93016	13107	34	3	-0.82
chaque	93016	13107	30	3	-0.73
parle	93016	13107	19	3	0.62
domaine	93016	13107	10	3	0.94
clair	93016	13107	7	3	1.27
apprend	93016	13107	4	3	2.02
presque	93016	13107	14	3	0.72
rons	93016	13107	18	3	0.63
pens	93016	13107	58	3	-1.69
avait	93016	13107	41	3	-1.03
philosophes	93016	13107	13	3	0.76
histoire	93016	13107	22	3	0.62
hui	93016	13107	22	3	0.62
demeure	93016	13107	11	3	0.86
passivit	93016	13107	6	3	1.45
ussir	93016	13107	17	3	0.64
individuelle	93016	13107	17	3	0.64
meilleur	93016	13107	33	3	-0.80
cons	93016	13107	21	3	0.62
accro	93016	13107	4	3	2.02
pri	93016	13107	11	3	0.86
coeur	93016	13107	48	3	-1.28
condition	93016	13107	24	3	0.63
sait	93016	13107	16	3	0.66
compte	93016	13107	29	3	-0.71
certains	93016	13107	41	3	-1.03
grande	93016	13107	26	3	0.66
parmi	93016	13107	16	3	0.66
promesse	93016	13107	15	3	0.69
vise	93016	13107	9	3	1.02
toute	93016	13107	70	3	-2.24
redonne	93016	13107	4	3	2.02
maintenir	93016	13107	7	3	1.27
mie	93016	13107	17	3	0.64
relation	93016	13107	26	3	0.66
souligne	93016	13107	18	3	0.63
aspirations	93016	13107	15	3	0.69
embl	93016	13107	10	3	0.94
matiques	93016	13107	8	3	1.13
camus	93016	13107	10	3	0.94
sillusion	93016	13107	13	3	0.76
unique	93016	13107	7	3	1.27
risque	93016	13107	24	3	0.63
agir	93016	13107	32	3	-0.77
pense	93016	13107	22	3	0.62
meilleure	93016	13107	20	3	0.62
rien	93016	13107	34	3	-0.82
abandonner	93016	13107	5	3	1.69
coran	93016	13107	13	3	0.76
allah	93016	13107	31	3	-0.75
restaurer	93016	13107	4	3	2.02
mis	93016	13107	43	3	-1.10
ricorde	93016	13107	18	3	0.63
tard	93016	13107	11	3	0.86
lumi	93016	13107	25	3	0.64
fini	93016	13107	12	3	0.80
lorsqu	93016	13107	32	3	-0.77
situations	93016	13107	31	3	-0.75
ouvre	93016	13107	10	3	0.94
mes	93016	13107	72	3	-2.33
av	93016	13107	11	3	0.86
fondements	93016	13107	3	3	2.55
rationnelle	93016	13107	17	3	0.64
processuelle	93016	13107	4	3	2.02
vecteur	93016	13107	6	3	1.45
john	93016	13107	27	3	0.67
donn	93016	13107	26	3	0.66
dispositionnel	93016	13107	3	3	2.55
op	93016	13107	29	3	-0.71
haut	93016	13107	14	3	0.72
ralement	93016	13107	9	3	1.02
donnant	93016	13107	7	3	1.27
ensuite	93016	13107	6	3	1.45
corr	93016	13107	6	3	1.45
lation	93016	13107	9	3	1.02
culturelle	93016	13107	4	3	2.02
auteurs	93016	13107	19	3	0.62
faibles	93016	13107	7	3	1.27
port	93016	13107	21	3	0.62
moduler	93016	13107	3	3	2.55
ajuster	93016	13107	3	3	2.55
sultat	93016	13107	14	3	0.72
tagged	93016	13107	13	3	0.76
ta	93016	13107	12	3	0.80
peux	93016	13107	11	3	0.86
visent	93016	13107	3	3	2.55
atteint	93016	13107	9	3	1.02
susceptible	93016	13107	26	3	0.66
vague	93016	13107	8	3	1.13
mur	93016	13107	8	3	1.13
pisode	93016	13107	4	3	2.02
podcast	93016	13107	4	3	2.02
peuple	93016	13107	27	3	0.67
libert	93016	13107	11	3	0.86
oit	93016	13107	5	3	1.69
irr	93016	13107	23	3	0.62
nom	93016	13107	16	3	0.66
fonde	93016	13107	8	3	1.13
passer	93016	13107	26	3	0.66
inesp	93016	13107	10	3	0.94
partir	93016	13107	14	2	0.53
possibilit	93016	13107	28	2	-0.84
vitale	93016	13107	8	2	0.65
dynamique	93016	13107	12	2	0.54
buts	93016	13107	41	2	-1.36
penser	93016	13107	25	2	-0.74
uncategorizedl	93016	13107	2	2	1.70
dons	93016	13107	6	2	0.79
divins	93016	13107	3	2	1.29
difficiles	93016	13107	18	2	0.57
phare	93016	13107	4	2	1.06
malala	93016	13107	2	2	1.70
yousafzai	93016	13107	2	2	1.70
branlable	93016	13107	7	2	0.71
opportunit	93016	13107	7	2	0.71
riode	93016	13107	16	2	0.55
bouleversements	93016	13107	3	2	1.29
motionnels	93016	13107	3	2	1.29
procure	93016	13107	4	2	1.06
motionnelle	93016	13107	17	2	0.56
avantages	93016	13107	4	2	1.06
empreint	93016	13107	2	2	1.70
responsabilise	93016	13107	2	2	1.70
diverses	93016	13107	6	2	0.79
impliquant	93016	13107	3	2	1.29
fixation	93016	13107	4	2	1.06
gatives	93016	13107	13	2	0.54
ologie	93016	13107	8	2	0.65
valorise	93016	13107	3	2	1.29
autonomie	93016	13107	15	2	0.54
servi	93016	13107	2	2	1.70
ressource	93016	13107	12	2	0.54
prospective	93016	13107	2	2	1.70
soufi	93016	13107	4	2	1.06
soufisme	93016	13107	4	2	1.06
ch	93016	13107	25	2	-0.74
coulent	93016	13107	2	2	1.70
raja	93016	13107	18	2	0.57
assistance	93016	13107	5	2	0.90
cerveau	93016	13107	11	2	0.56
significatifs	93016	13107	4	2	1.06
brales	93016	13107	2	2	1.70
fonctions	93016	13107	2	2	1.70
cognitives	93016	13107	7	2	0.71
cardiovasculaire	93016	13107	4	2	1.06
interventions	93016	13107	3	2	1.29
chirurgicales	93016	13107	2	2	1.70
globalement	93016	13107	2	2	1.70
contribue	93016	13107	2	2	1.70
fonction	93016	13107	15	2	0.54
immunitaire	93016	13107	4	2	1.06
longtemps	93016	13107	18	2	0.57
