token	corpus size	contexts size	frequency	co-frequency	specificity
longue	93016	13107	9	2	0.61
facteur	93016	13107	8	2	0.65
protection	93016	13107	5	2	0.90
circonstances	93016	13107	16	2	0.55
bienveillance	93016	13107	4	2	1.06
profonds	93016	13107	6	2	0.79
impacts	93016	13107	2	2	1.70
quation	93016	13107	5	2	0.90
offrant	93016	13107	11	2	0.56
cheminement	93016	13107	4	2	1.06
faisant	93016	13107	13	2	0.54
transcendant	93016	13107	2	2	1.70
fronti	93016	13107	5	2	0.90
interconnect	93016	13107	2	2	1.70
merge	93016	13107	2	2	1.70
transformatrice	93016	13107	5	2	0.90
pression	93016	13107	19	2	0.59
tactique	93016	13107	2	2	1.70
quilibre	93016	13107	7	2	0.71
voire	93016	13107	19	2	0.59
identifie	93016	13107	6	2	0.79
survivre	93016	13107	3	2	1.29
ernst	93016	13107	7	2	0.71
bloch	93016	13107	8	2	0.65
tableaux	93016	13107	3	2	1.29
termin	93016	13107	14	2	0.53
cat	93016	13107	11	2	0.56
ois	93016	13107	2	2	1.70
tudes	93016	13107	13	2	0.54
contemporain	93016	13107	5	2	0.90
arts	93016	13107	6	2	0.79
concerne	93016	13107	10	2	0.58
religieuses	93016	13107	8	2	0.65
manifestation	93016	13107	3	2	1.29
conna	93016	13107	9	2	0.61
dialectique	93016	13107	4	2	1.06
personnels	93016	13107	13	2	0.54
connu	93016	13107	2	2	1.70
retour	93016	13107	10	2	0.58
importante	93016	13107	15	2	0.54
romantique	93016	13107	2	2	1.70
future	93016	13107	7	2	0.71
minent	93016	13107	4	2	1.06
philosophe	93016	13107	18	2	0.57
refl	93016	13107	11	2	0.56
renforce	93016	13107	10	2	0.58
kahlo	93016	13107	9	2	0.61
parfait	93016	13107	4	2	1.06
collectif	93016	13107	14	2	0.53
souffrance	93016	13107	26	2	-0.77
compr	93016	13107	9	2	0.61
hension	93016	13107	14	2	0.53
telles	93016	13107	16	2	0.55
mergence	93016	13107	6	2	0.79
article	93016	13107	73	2	-2.97
attache	93016	13107	2	2	1.70
analyser	93016	13107	6	2	0.79
laisse	93016	13107	9	2	0.61
fin	93016	13107	37	2	-1.19
ailleurs	93016	13107	19	2	0.59
ambigu	93016	13107	9	2	0.61
temporel	93016	13107	9	2	0.61
rejoint	93016	13107	8	2	0.65
supposant	93016	13107	3	2	1.29
rieur	93016	13107	11	2	0.56
position	93016	13107	10	2	0.58
occasions	93016	13107	3	2	1.29
ci	93016	13107	35	2	-1.10
fuit	93016	13107	2	2	1.70
oppose	93016	13107	6	2	0.79
restriction	93016	13107	2	2	1.70
color	93016	13107	1	2	-2.97
entach	93016	13107	2	2	1.70
syntagme	93016	13107	2	2	1.70
auquel	93016	13107	8	2	0.65
final	93016	13107	5	2	0.90
exemple	93016	13107	58	2	-2.18
fondamentalement	93016	13107	2	2	1.70
amir	93016	13107	3	2	1.29
biglari	93016	13107	8	2	0.65
fixer	93016	13107	5	2	0.90
surmonter	93016	13107	28	2	-0.84
nourrissent	93016	13107	4	2	1.06
science	93016	13107	23	2	-0.68
degr	93016	13107	9	2	0.61
ingr	93016	13107	2	2	1.70
toi	93016	13107	10	2	0.58
courage	93016	13107	17	2	0.56
barom	93016	13107	3	2	1.29
sources	93016	13107	5	2	0.90
valeurs	93016	13107	25	2	-0.74
facteurs	93016	13107	12	2	0.54
augment	93016	13107	5	2	0.90
puisse	93016	13107	10	2	0.58
redonner	93016	13107	3	2	1.29
communaut	93016	13107	12	2	0.54
simple	93016	13107	19	2	0.59
secret	93016	13107	2	2	1.70
the	93016	13107	39	2	-1.27
ons	93016	13107	14	2	0.53
instant	93016	13107	7	2	0.71
auteur	93016	13107	15	2	0.54
importe	93016	13107	11	2	0.56
mati	93016	13107	16	2	0.55
gens	93016	13107	22	2	-0.66
entrent	93016	13107	2	2	1.70
jeu	93016	13107	6	2	0.79
jour	93016	13107	56	2	-2.08
aujourd	93016	13107	22	2	-0.66
refuser	93016	13107	3	2	1.29
soulignait	93016	13107	2	2	1.70
mouvement	93016	13107	14	2	0.53
mobilise	93016	13107	7	2	0.71
inversement	93016	13107	3	2	1.29
ait	93016	13107	13	2	0.54
sera	93016	13107	38	2	-1.23
soi	93016	13107	18	2	0.57
collective	93016	13107	8	2	0.65
futur	93016	13107	29	2	-0.87
ensemble	93016	13107	16	2	0.55
manquer	93016	13107	3	2	1.29
recherche	93016	13107	105	2	-4.76
remarquez	93016	13107	2	2	1.70
chissez	93016	13107	2	2	1.70
plein	93016	13107	16	2	0.55
voulez	93016	13107	5	2	0.90
simplement	93016	13107	19	2	0.59
amener	93016	13107	2	2	1.70
passif	93016	13107	4	2	1.06
passe	93016	13107	19	2	0.59
conseil	93016	13107	8	2	0.65
tiens	93016	13107	2	2	1.70
incarn	93016	13107	4	2	1.06
biblique	93016	13107	5	2	0.90
comprend	93016	13107	5	2	0.90
attitude	93016	13107	29	2	-0.87
chevill	93016	13107	2	2	1.70
meilleurs	93016	13107	12	2	0.54
serait	93016	13107	26	2	-0.77
plut	93016	13107	20	2	0.61
doute	93016	13107	22	2	-0.66
constituer	93016	13107	15	2	0.54
pass	93016	13107	18	2	0.57
questions	93016	13107	15	2	0.54
paradoxe	93016	13107	9	2	0.61
mort	93016	13107	40	2	-1.32
myst	93016	13107	3	2	1.29
conduit	93016	13107	11	2	0.56
irrespirable	93016	13107	2	2	1.70
populaire	93016	13107	9	2	0.61
ologale	93016	13107	6	2	0.79
conduite	93016	13107	9	2	0.61
qava	93016	13107	8	2	0.65
contrairement	93016	13107	8	2	0.65
reposait	93016	13107	2	2	1.70
cles	93016	13107	3	2	1.29
figures	93016	13107	5	2	0.90
hugo	93016	13107	24	2	-0.71
nuanc	93016	13107	2	2	1.70
incarner	93016	13107	6	2	0.79
vision	93016	13107	30	2	-0.91
cadre	93016	13107	10	2	0.58
explor	93016	13107	3	2	1.29
absurde	93016	13107	8	2	0.65
besoin	93016	13107	25	2	-0.74
aise	93016	13107	24	2	-0.71
espoirs	93016	13107	89	2	-3.85
alain	93016	13107	5	2	0.90
rey	93016	13107	5	2	0.90
tueur	93016	13107	2	2	1.70
nuisible	93016	13107	1	2	-2.97
probl	93016	13107	30	2	-0.91
encha	93016	13107	4	2	1.06
paradis	93016	13107	9	2	0.61
rest	93016	13107	4	2	1.06
meurt	93016	13107	4	2	1.06
alisez	93016	13107	2	2	1.70
ping	93016	13107	3	2	1.29
mettre	93016	13107	30	2	-0.91
pourrais	93016	13107	5	2	0.90
servir	93016	13107	4	2	1.06
image	93016	13107	15	2	0.54
islamiques	93016	13107	3	2	1.29
difficult	93016	13107	44	2	-1.50
rappelle	93016	13107	9	2	0.61
emporte	93016	13107	3	2	1.29
consiste	93016	13107	12	2	0.54
tiser	93016	13107	3	2	1.29
doivent	93016	13107	7	2	0.71
enregistrerenregistrer	93016	13107	2	2	1.70
pend	93016	13107	9	2	0.61
incertains	93016	13107	4	2	1.06
mondial	93016	13107	5	2	0.90
bat	93016	13107	4	2	1.06
tient	93016	13107	15	2	0.54
socle	93016	13107	2	2	1.70
grandir	93016	13107	7	2	0.71
al	93016	13107	28	2	-0.84
vain	93016	13107	5	2	0.90
champ	93016	13107	12	2	0.54
augmenter	93016	13107	2	2	1.70
surtout	93016	13107	16	2	0.55
www	93016	13107	7	2	0.71
com	93016	13107	12	2	0.54
glig	93016	13107	2	2	1.70
psychologiques	93016	13107	14	2	0.53
motivationnelle	93016	13107	11	2	0.56
inscription	93016	13107	2	2	1.70
futurit	93016	13107	9	2	0.61
verrons	93016	13107	8	2	0.65
conde	93016	13107	2	2	1.70
montrons	93016	13107	4	2	1.06
correspond	93016	13107	10	2	0.58
pleeging	93016	13107	5	2	0.90
emp	93016	13107	15	2	0.54
particulier	93016	13107	24	2	-0.71
finit	93016	13107	7	2	0.71
sugg	93016	13107	16	2	0.55
capables	93016	13107	5	2	0.90
pluridisciplinaire	93016	13107	6	2	0.79
comporte	93016	13107	5	2	0.90
individu	93016	13107	38	2	-1.23
proches	93016	13107	9	2	0.61
elles	93016	13107	42	2	-1.41
mesure	93016	13107	24	2	-0.71
vidence	93016	13107	9	2	0.61
renseigne	93016	13107	2	2	1.70
potentiellement	93016	13107	4	2	1.06
finir	93016	13107	18	2	0.57
mobiliser	93016	13107	8	2	0.65
aptitude	93016	13107	4	2	1.06
ultime	93016	13107	3	2	1.29
loin	93016	13107	19	2	0.59
praticable	93016	13107	1	2	-2.97
accessible	93016	13107	3	2	1.29
ind	93016	13107	10	2	0.58
premier	93016	13107	21	2	-0.63
illusoire	93016	13107	7	2	0.71
emmanuel	93016	13107	7	2	0.71
petit	93016	13107	14	2	0.53
fermer	93016	13107	11	2	0.56
porter	93016	13107	9	2	0.61
aupr	93016	13107	7	2	0.71
imagination	93016	13107	20	2	0.61
nourrisez	93016	13107	2	2	1.70
sec	93016	13107	4	2	1.06
craquel	93016	13107	2	2	1.70
fr	93016	13107	21	2	-0.63
home	93016	13107	5	2	0.90
encouragement	93016	13107	7	2	0.71
active	93016	13107	13	2	0.54
rappelant	93016	13107	4	2	1.06
conclusion	93016	13107	6	2	0.79
transformative	93016	13107	2	2	1.70
durable	93016	13107	6	2	0.79
brise	93016	13107	2	2	1.70
romains	93016	13107	15	2	0.54
natures	93016	13107	2	2	1.70
sitant	93016	13107	2	2	1.70
passent	93016	13107	3	2	1.29
revienne	93016	13107	2	2	1.70
where	93016	13107	2	2	1.70
can	93016	13107	3	2	1.29
regarde	93016	13107	4	2	1.06
obtenir	93016	13107	5	2	0.90
petits	93016	13107	8	2	0.65
silence	93016	13107	7	2	0.71
tourmente	93016	13107	2	2	1.70
prot	93016	13107	5	2	0.90
gez	93016	13107	2	2	1.70
ranimons	93016	13107	2	2	1.70
refleurir	93016	13107	2	2	1.70
gis	93016	13107	3	2	1.29
sus	93016	13107	26	2	-0.77
chim	93016	13107	5	2	0.90
rique	93016	13107	6	2	0.79
semer	93016	13107	2	2	1.70
graine	93016	13107	2	2	1.70
descendance	93016	13107	3	2	1.29
encourageante	93016	13107	2	2	1.70
paroles	93016	13107	17	2	0.56
sentit	93016	13107	2	2	1.70
consumant	93016	13107	2	2	1.70
soutenant	93016	13107	3	2	1.29
darius	93016	13107	2	2	1.70
empara	93016	13107	2	2	1.70
crier	93016	13107	2	2	1.70
tels	93016	13107	15	2	0.54
trouvons	93016	13107	3	2	1.29
serons	93016	13107	4	2	1.06
vaincus	93016	13107	3	2	1.29
continuerons	93016	13107	2	2	1.70
avancer	93016	13107	14	2	0.53
cesse	93016	13107	21	2	-0.63
renouvel	93016	13107	3	2	1.29
entrer	93016	13107	9	2	0.61
bac	93016	13107	5	2	0.90
reprend	93016	13107	3	2	1.29
scolaire	93016	13107	5	2	0.90
occupe	93016	13107	2	2	1.70
centrale	93016	13107	6	2	0.79
bons	93016	13107	8	2	0.65
cis	93016	13107	21	2	-0.63
heureux	93016	13107	13	2	0.54
grante	93016	13107	5	2	0.90
rise	93016	13107	6	2	0.79
veulent	93016	13107	6	2	0.79
or	93016	13107	20	2	0.61
parent	93016	13107	3	2	1.29
porteuses	93016	13107	2	2	1.70
sirable	93016	13107	2	2	1.70
serai	93016	13107	4	2	1.06
adolescence	93016	13107	4	2	1.06
composantes	93016	13107	4	2	1.06
ilona	93016	13107	2	2	1.70
boniwell	93016	13107	2	2	1.70
cole	93016	13107	18	2	0.57
inform	93016	13107	4	2	1.06
ves	93016	13107	15	2	0.54
contribuer	93016	13107	5	2	0.90
instaurer	93016	13107	2	2	1.70
contrats	93016	13107	3	2	1.29
organisationnels	93016	13107	2	2	1.70
certitude	93016	13107	17	2	0.56
tremplin	93016	13107	2	2	1.70
rit	93016	13107	31	2	-0.95
humains	93016	13107	24	2	-0.71
preuve	93016	13107	28	2	-0.84
extraordinaire	93016	13107	3	2	1.29
respiration	93016	13107	5	2	0.90
taill	93016	13107	5	2	0.90
remonter	93016	13107	7	2	0.71
alerte	93016	13107	4	2	1.06
bio	93016	13107	10	2	0.58
thique	93016	13107	20	2	0.61
rechute	93016	13107	6	2	0.79
centrales	93016	13107	2	2	1.70
conomies	93016	13107	4	2	1.06
jonction	93016	13107	2	2	1.70
acteurs	93016	13107	10	2	0.58
mues	93016	13107	2	2	1.70
avanc	93016	13107	7	2	0.71
relationnelle	93016	13107	4	2	1.06
ethos	93016	13107	4	2	1.06
rassemble	93016	13107	4	2	1.06
rents	93016	13107	17	2	0.56
con	93016	13107	7	2	0.71
reliant	93016	13107	3	2	1.29
focalise	93016	13107	3	2	1.29
rente	93016	13107	9	2	0.61
matrice	93016	13107	2	2	1.70
termes	93016	13107	14	2	0.53
morale	93016	13107	31	2	-0.95
relations	93016	13107	15	2	0.54
jou	93016	13107	3	2	1.29
enjeu	93016	13107	4	2	1.06
gociations	93016	13107	4	2	1.06
pratique	93016	13107	13	2	0.54
mortelle	93016	13107	2	2	1.70
tirer	93016	13107	4	2	1.06
grignoli	93016	13107	2	2	1.70
chelles	93016	13107	4	2	1.06
recommand	93016	13107	3	2	1.29
franklin	93016	13107	2	2	1.70
oncologie	93016	13107	14	2	0.53
fondent	93016	13107	4	2	1.06
accord	93016	13107	8	2	0.65
facto	93016	13107	2	2	1.70
aliste	93016	13107	18	2	0.57
fiance	93016	13107	5	2	0.90
horng	93016	13107	2	2	1.70
grady	93016	13107	2	2	1.70
participant	93016	13107	3	2	1.29
essais	93016	13107	23	2	-0.68
mod	93016	13107	18	2	0.57
tendance	93016	13107	12	2	0.54
decine	93016	13107	9	2	0.61
patient	93016	13107	41	2	-1.36
delvecchio	93016	13107	8	2	0.65
good	93016	13107	8	2	0.65
roulement	93016	13107	8	2	0.65
offre	93016	13107	15	2	0.54
motifs	93016	13107	3	2	1.29
font	93016	13107	22	2	-0.66
recours	93016	13107	16	2	0.55
suis	93016	13107	36	2	-1.15
prise	93016	13107	18	2	0.57
redonnant	93016	13107	2	2	1.70
plusieurs	93016	13107	24	2	-0.71
vendeur	93016	13107	2	2	1.70
professionnel	93016	13107	7	2	0.71
suscit	93016	13107	3	2	1.29
accroche	93016	13107	4	2	1.06
moindre	93016	13107	5	2	0.90
participation	93016	13107	10	2	0.58
investigateurs	93016	13107	24	2	-0.71
scientifiquement	93016	13107	2	2	1.70
certaines	93016	13107	25	2	-0.74
critiques	93016	13107	5	2	0.90
moyen	93016	13107	21	2	-0.63
incurables	93016	13107	3	2	1.29
ayant	93016	13107	22	2	-0.66
occurrence	93016	13107	12	2	0.54
technologie	93016	13107	11	2	0.56
revert	93016	13107	8	2	0.65
quatre	93016	13107	5	2	0.90
souci	93016	13107	6	2	0.79
investigateur	93016	13107	10	2	0.58
march	93016	13107	4	2	1.06
interpr	93016	13107	12	2	0.54
tation	93016	13107	7	2	0.71
livr	93016	13107	6	2	0.79
provoquer	93016	13107	7	2	0.71
disproportionn	93016	13107	2	2	1.70
proposition	93016	13107	12	2	0.54
veill	93016	13107	5	2	0.90
engendrer	93016	13107	4	2	1.06
charg	93016	13107	9	2	0.61
gitime	93016	13107	7	2	0.71
conditions	93016	13107	15	2	0.54
rimentation	93016	13107	4	2	1.06
tester	93016	13107	3	2	1.29
traduit	93016	13107	13	2	0.54
quant	93016	13107	13	2	0.54
objets	93016	13107	9	2	0.61
go	93016	13107	6	2	0.79
accepter	93016	13107	13	2	0.54
vraie	93016	13107	2	2	1.70
comp	93016	13107	13	2	0.54
tence	93016	13107	7	2	0.71
travailler	93016	13107	9	2	0.61
soignante	93016	13107	3	2	1.29
parler	93016	13107	14	2	0.53
traitement	93016	13107	33	2	-1.02
ni	93016	13107	38	2	-1.23
effectiv	93016	13107	2	2	1.70
lienne	93016	13107	5	2	0.90
couples	93016	13107	2	2	1.70
notionnels	93016	13107	2	2	1.70
raisonn	93016	13107	1	2	-2.97
progressiste	93016	13107	1	2	-2.97
chalier	93016	13107	2	2	1.70
dieux	93016	13107	3	2	1.29
ception	93016	13107	12	2	0.54
infinie	93016	13107	5	2	0.90
alternate	93016	13107	11	2	0.56
revient	93016	13107	4	2	1.06
truire	93016	13107	8	2	0.65
getty	93016	13107	4	2	1.06
temmuzcan	93016	13107	2	2	1.70
raisons	93016	13107	14	2	0.53
objectives	93016	13107	5	2	0.90
aube	93016	13107	2	1	0.62
reconnu	93016	13107	1	1	0.85
moyens	93016	13107	28	1	-1.19
form	93016	13107	4	1	0.45
verbe	93016	13107	7	1	0.40
quelqu	93016	13107	18	1	-0.72
signe	93016	13107	12	1	0.50
affective	93016	13107	8	1	0.41
certes	93016	13107	13	1	0.53
minime	93016	13107	1	1	0.85
subjectif	93016	13107	1	1	0.85
farran	93016	13107	1	1	0.85
herth	93016	13107	1	1	0.85
popovich	93016	13107	1	1	0.85
enfin	93016	13107	16	1	-0.64
supportant	93016	13107	1	1	0.85
ristiques	93016	13107	5	1	0.42
possible	93016	13107	44	1	-2.04
ateurs	93016	13107	1	1	0.85
rena	93016	13107	3	1	0.51
retrouve	93016	13107	11	1	0.47
echelle	93016	13107	1	1	0.85
sympson	93016	13107	1	1	0.85
ybasco	93016	13107	1	1	0.85
groopman	93016	13107	4	1	0.45
laforce	93016	13107	1	1	0.85
janvier	93016	13107	5	1	0.42
articles	93016	13107	12	1	0.50
homonymes	93016	13107	1	1	0.85
lueur	93016	13107	1	1	0.85
photographie	93016	13107	1	1	0.85
disposition	93016	13107	12	1	0.50
oppos	93016	13107	5	1	0.42
conserver	93016	13107	4	1	0.45
opposer	93016	13107	2	1	0.62
diction	93016	13107	5	1	0.42
chit	93016	13107	2	1	0.62
biais	93016	13107	10	1	0.44
expressions	93016	13107	1	1	0.85
mourir	93016	13107	9	1	0.42
soldats	93016	13107	1	1	0.85
allemand	93016	13107	6	1	0.40
consacre	93016	13107	4	1	0.45
tudie	93016	13107	1	1	0.85
conjointement	93016	13107	2	1	0.62
raisonnable	93016	13107	5	1	0.42
sentations	93016	13107	8	1	0.41
goriques	93016	13107	1	1	0.85
tableau	93016	13107	3	1	0.51
gorique	93016	13107	2	1	0.62
roman	93016	13107	3	1	0.51
consacr	93016	13107	5	1	0.42
vrin	93016	13107	1	1	0.85
presses	93016	13107	13	1	0.53
universitaires	93016	13107	14	1	-0.56
france	93016	13107	16	1	-0.64
claude	93016	13107	4	1	0.45
giraud	93016	13107	3	1	0.51
van	93016	13107	2	1	0.62
menxel	93016	13107	1	1	0.85
mantiques	93016	13107	1	1	0.85
dinard	93016	13107	3	1	0.51
palais	93016	13107	2	1	0.62
salve	93016	13107	1	1	0.85
anthologie	93016	13107	1	1	0.85
cha	93016	13107	1	1	0.85
wikimedia	93016	13107	2	1	0.62
commons	93016	13107	20	1	-0.80
wiktionnaire	93016	13107	1	1	0.85
wikiquote	93016	13107	1	1	0.85
org	93016	13107	18	1	-0.72
w	93016	13107	14	1	-0.56
index	93016	13107	3	1	0.51
php	93016	13107	1	1	0.85
title	93016	13107	1	1	0.85
oldid	93016	13107	1	1	0.85
concepts	93016	13107	18	1	-0.72
collectives	93016	13107	3	1	0.51
captur	93016	13107	1	1	0.85
matis	93016	13107	1	1	0.85
sentaient	93016	13107	1	1	0.85
vue	93016	13107	25	1	-1.04
fromm	93016	13107	2	1	0.62
soutient	93016	13107	2	1	0.62
apocalypses	93016	13107	1	1	0.85
gauche	93016	13107	1	1	0.85
triptyque	93016	13107	1	1	0.85
tension	93016	13107	8	1	0.41
pravation	93016	13107	1	1	0.85
kierkegaard	93016	13107	3	1	0.51
postule	93016	13107	1	1	0.85
saut	93016	13107	1	1	0.85
bosch	93016	13107	8	1	0.41
parvient	93016	13107	2	1	0.62
passement	93016	13107	1	1	0.85
tedeschi	93016	13107	1	1	0.85
lawrence	93016	13107	1	1	0.85
calhoun	93016	13107	1	1	0.85
jouer	93016	13107	8	1	0.41
douleur	93016	13107	13	1	0.53
obstacles	93016	13107	15	1	-0.60
sociaux	93016	13107	17	1	-0.68
goya	93016	13107	8	1	0.41
el	93016	13107	18	1	-0.72
sue	93016	13107	1	1	0.85
madrid	93016	13107	2	1	0.62
chaos	93016	13107	2	1	0.62
sentait	93016	13107	1	1	0.85
spirituel	93016	13107	5	1	0.42
environnements	93016	13107	3	1	0.51
naturels	93016	13107	2	1	0.62
offrir	93016	13107	13	1	0.53
renouveau	93016	13107	5	1	0.42
trouv	93016	13107	11	1	0.47
romantisme	93016	13107	6	1	0.40
guerre	93016	13107	14	1	-0.56
compassion	93016	13107	9	1	0.42
kollwitz	93016	13107	9	1	0.42
parlait	93016	13107	1	1	0.85
tent	93016	13107	7	1	0.40
aspect	93016	13107	11	1	0.47
traverse	93016	13107	4	1	0.45
folkman	93016	13107	1	1	0.85
richard	93016	13107	6	1	0.40
lazarus	93016	13107	1	1	0.85
acceptation	93016	13107	5	1	0.42
expriment	93016	13107	2	1	0.62
oeuvre	93016	13107	26	1	-1.09
totalit	93016	13107	3	1	0.51
subtil	93016	13107	1	1	0.85
girl	93016	13107	2	1	0.62
balloon	93016	13107	2	1	0.62
pont	93016	13107	2	1	0.62
visuels	93016	13107	1	1	0.85
rentes	93016	13107	15	1	-0.60
sombres	93016	13107	5	1	0.42
motif	93016	13107	2	1	0.62
travaux	93016	13107	21	1	-0.85
masculins	93016	13107	1	1	0.85
homenum	93016	13107	1	1	0.85
ros	93016	13107	4	1	0.45
dossier	93016	13107	2	1	0.62
applicationsl	93016	13107	1	1	0.85
propri	93016	13107	3	1	0.51
savoir	93016	13107	36	1	-1.60
principal	93016	13107	11	1	0.47
contradictoire	93016	13107	1	1	0.85
affirme	93016	13107	11	1	0.47
local	93016	13107	3	1	0.51
relevant	93016	13107	1	1	0.85
instabilit	93016	13107	2	1	0.62
absentes	93016	13107	1	1	0.85
bute	93016	13107	1	1	0.85
adress	93016	13107	4	1	0.45
exprim	93016	13107	5	1	0.42
malheurs	93016	13107	1	1	0.85
sespoirs	93016	13107	1	1	0.85
chanter	93016	13107	2	1	0.62
collectivit	93016	13107	2	1	0.62
hugolien	93016	13107	2	1	0.62
allons	93016	13107	4	1	0.45
tudier	93016	13107	3	1	0.51
posture	93016	13107	5	1	0.42
finale	93016	13107	5	1	0.42
remplace	93016	13107	1	1	0.85
annul	93016	13107	1	1	0.85
retourn	93016	13107	2	1	0.62
initiale	93016	13107	4	1	0.45
ture	93016	13107	2	1	0.62
mantique	93016	13107	4	1	0.45
initial	93016	13107	2	1	0.62
suppos	93016	13107	2	1	0.62
investi	93016	13107	1	1	0.85
revanche	93016	13107	8	1	0.41
haine	93016	13107	6	1	0.40
affaire	93016	13107	4	1	0.45
renciatrices	93016	13107	1	1	0.85
imposerait	93016	13107	2	1	0.62
manife	93016	13107	1	1	0.85
cit	93016	13107	14	1	-0.56
recueil	93016	13107	16	1	-0.64
apparition	93016	13107	4	1	0.45
apparemment	93016	13107	5	1	0.42
ren	93016	13107	4	1	0.45
premi	93016	13107	26	1	-1.09
auroux	93016	13107	1	1	0.85
sylvain	93016	13107	1	1	0.85
attend	93016	13107	11	1	0.47
conjonction	93016	13107	2	1	0.62
opposition	93016	13107	2	1	0.62
passions	93016	13107	7	1	0.40
genres	93016	13107	1	1	0.85
excite	93016	13107	3	1	0.51
manifest	93016	13107	5	1	0.42
mentale	93016	13107	13	1	0.53
impuissance	93016	13107	8	1	0.41
apprise	93016	13107	2	1	0.62
essentielles	93016	13107	5	1	0.42
situe	93016	13107	5	1	0.42
issue	93016	13107	29	1	-1.24
che	93016	13107	19	1	-0.76
dient	93016	13107	1	1	0.85
combin	93016	13107	1	1	0.85
arrivera	93016	13107	3	1	0.51
procurant	93016	13107	1	1	0.85
souviens	93016	13107	2	1	0.62
arme	93016	13107	1	1	0.85
formidable	93016	13107	1	1	0.85
puissent	93016	13107	3	1	0.51
apprendrez	93016	13107	2	1	0.62
facile	93016	13107	10	1	0.44
assombrit	93016	13107	1	1	0.85
exactement	93016	13107	6	1	0.40
financi	93016	13107	3	1	0.51
propres	93016	13107	15	1	-0.60
seront	93016	13107	8	1	0.41
satisfaites	93016	13107	1	1	0.85
suisse	93016	13107	1	1	0.85
taux	93016	13107	4	1	0.45
personnel	93016	13107	22	1	-0.89
essentiels	93016	13107	6	1	0.40
majoritairement	93016	13107	1	1	0.85
mentionn	93016	13107	2	1	0.62
positif	93016	13107	20	1	-0.80
nario	93016	13107	7	1	0.40
diminu	93016	13107	2	1	0.62
individuel	93016	13107	12	1	0.50
influence	93016	13107	13	1	0.53
parapluie	93016	13107	1	1	0.85
invisible	93016	13107	2	1	0.62
ployer	93016	13107	1	1	0.85
devrions	93016	13107	4	1	0.45
reprendre	93016	13107	7	1	0.40
personnes	93016	13107	53	1	-2.56
croire	93016	13107	22	1	-0.89
div	93016	13107	1	1	0.85
