token	corpus size	contexts size	frequency	co-frequency	specificity
wikipedia	93016	13107	2	1	0.62
naitre	93016	13107	1	1	0.85
dictionnaire	93016	13107	2	1	0.62
rapidement	93016	13107	8	1	0.41
page	93016	13107	36	1	-1.60
transpire	93016	13107	1	1	0.85
talent	93016	13107	2	1	0.62
original	93016	13107	5	1	0.42
world	93016	13107	4	1	0.45
faisons	93016	13107	9	1	0.42
contagieux	93016	13107	1	1	0.85
er	93016	13107	14	1	-0.56
croyances	93016	13107	12	1	0.50
tenter	93016	13107	6	1	0.40
fortement	93016	13107	9	1	0.42
cycle	93016	13107	4	1	0.45
cro	93016	13107	1	1	0.85
jusqu	93016	13107	20	1	-0.80
frappantes	93016	13107	1	1	0.85
optimistes	93016	13107	16	1	-0.64
communiquent	93016	13107	1	1	0.85
experts	93016	13107	4	1	0.45
succ	93016	13107	14	1	-0.56
tristesse	93016	13107	10	1	0.44
rem	93016	13107	5	1	0.42
invite	93016	13107	7	1	0.40
tellement	93016	13107	4	1	0.45
base	93016	13107	10	1	0.44
am	93016	13107	52	1	-2.50
liorer	93016	13107	18	1	-0.72
rendez	93016	13107	5	1	0.42
sastre	93016	13107	2	1	0.62
permis	93016	13107	4	1	0.45
ur	93016	13107	1	1	0.85
nojs	93016	13107	2	1	0.62
refresh	93016	13107	3	1	0.51
fille	93016	13107	5	1	0.42
relancer	93016	13107	1	1	0.85
pouss	93016	13107	5	1	0.42
br	93016	13107	6	1	0.40
bouchant	93016	13107	1	1	0.85
entrav	93016	13107	1	1	0.85
vet	93016	13107	4	1	0.45
contagion	93016	13107	1	1	0.85
impulser	93016	13107	1	1	0.85
envisageaient	93016	13107	1	1	0.85
pure	93016	13107	1	1	0.85
rendrait	93016	13107	2	1	0.62
barbare	93016	13107	1	1	0.85
battu	93016	13107	2	1	0.62
ficit	93016	13107	1	1	0.85
vit	93016	13107	11	1	0.47
malmen	93016	13107	2	1	0.62
associer	93016	13107	4	1	0.45
associe	93016	13107	2	1	0.62
engagement	93016	13107	8	1	0.41
sarm	93016	13107	1	1	0.85
commenc	93016	13107	2	1	0.62
suivie	93016	13107	1	1	0.85
lisle	93016	13107	8	1	0.41
cultive	93016	13107	1	1	0.85
sociologue	93016	13107	7	1	0.40
consommer	93016	13107	2	1	0.62
individuellement	93016	13107	1	1	0.85
chacun	93016	13107	20	1	-0.80
finalement	93016	13107	15	1	-0.60
chelle	93016	13107	5	1	0.42
mortif	93016	13107	2	1	0.62
sembler	93016	13107	3	1	0.51
sentir	93016	13107	9	1	0.42
choses	93016	13107	53	1	-2.56
x	93016	13107	18	1	-0.72
pourriez	93016	13107	4	1	0.45
atteindre	93016	13107	62	1	-3.08
soudain	93016	13107	1	1	0.85
teindre	93016	13107	2	1	0.62
exercer	93016	13107	2	1	0.62
fondez	93016	13107	1	1	0.85
vos	93016	13107	45	1	-2.10
mobilisant	93016	13107	2	1	0.62
couvert	93016	13107	2	1	0.62
ax	93016	13107	2	1	0.62
utilisons	93016	13107	3	1	0.51
actif	93016	13107	14	1	-0.56
fleurit	93016	13107	1	1	0.85
entourons	93016	13107	1	1	0.85
puisez	93016	13107	1	1	0.85
puisons	93016	13107	1	1	0.85
trouvez	93016	13107	3	1	0.51
ouvrir	93016	13107	10	1	0.44
passages	93016	13107	2	1	0.62
couvrirez	93016	13107	1	1	0.85
disons	93016	13107	2	1	0.62
appartient	93016	13107	4	1	0.45
revenant	93016	13107	3	1	0.51
indissolublement	93016	13107	1	1	0.85
facilement	93016	13107	3	1	0.51
radieux	93016	13107	4	1	0.45
caressons	93016	13107	1	1	0.85
arr	93016	13107	20	1	-0.80
tons	93016	13107	1	1	0.85
pratiquement	93016	13107	3	1	0.51
jours	93016	13107	13	1	0.53
devoir	93016	13107	3	1	0.51
premiers	93016	13107	7	1	0.40
tes	93016	13107	48	1	-2.27
grecs	93016	13107	2	1	0.62
identifi	93016	13107	6	1	0.40
saurait	93016	13107	2	1	0.62
alibi	93016	13107	2	1	0.62
ognis	93016	13107	1	1	0.85
distingue	93016	13107	5	1	0.42
pieux	93016	13107	3	1	0.51
pindare	93016	13107	1	1	0.85
fera	93016	13107	10	1	0.44
rateur	93016	13107	2	1	0.62
eschyle	93016	13107	1	1	0.85
retenons	93016	13107	1	1	0.85
ambivalence	93016	13107	3	1	0.51
inscrit	93016	13107	6	1	0.40
incontournables	93016	13107	1	1	0.85
fondamentale	93016	13107	7	1	0.40
reconna	93016	13107	15	1	-0.60
consacrer	93016	13107	2	1	0.62
paragraphe	93016	13107	1	1	0.85
aurais	93016	13107	3	1	0.51
parl	93016	13107	3	1	0.51
marxiste	93016	13107	3	1	0.51
millions	93016	13107	1	1	0.85
crise	93016	13107	9	1	0.42
nombre	93016	13107	12	1	0.50
croissant	93016	13107	2	1	0.62
rieusement	93016	13107	3	1	0.51
temporelle	93016	13107	2	1	0.62
malraux	93016	13107	4	1	0.45
reconnaissait	93016	13107	1	1	0.85
proverbe	93016	13107	3	1	0.51
absolument	93016	13107	6	1	0.40
vital	93016	13107	4	1	0.45
transfigurer	93016	13107	1	1	0.85
vice	93016	13107	3	1	0.51
immanente	93016	13107	2	1	0.62
yachal	93016	13107	7	1	0.40
offrent	93016	13107	5	1	0.42
transmet	93016	13107	3	1	0.51
nergie	93016	13107	15	1	-0.60
ruines	93016	13107	1	1	0.85
rusalem	93016	13107	7	1	0.40
moderne	93016	13107	8	1	0.41
contextes	93016	13107	2	1	0.62
culturels	93016	13107	2	1	0.62
isra	93016	13107	8	1	0.41
enracin	93016	13107	8	1	0.41
exode	93016	13107	1	1	0.85
babylonien	93016	13107	1	1	0.85
rait	93016	13107	3	1	0.51
incertain	93016	13107	11	1	0.47
testament	93016	13107	4	1	0.45
relationnel	93016	13107	2	1	0.62
auto	93016	13107	3	1	0.51
sauv	93016	13107	4	1	0.45
maintenant	93016	13107	14	1	-0.56
exaltation	93016	13107	2	1	0.62
crivains	93016	13107	4	1	0.45
naturalisme	93016	13107	4	1	0.45
envers	93016	13107	6	1	0.40
raire	93016	13107	7	1	0.40
propose	93016	13107	11	1	0.47
peste	93016	13107	1	1	0.85
universel	93016	13107	4	1	0.45
preuves	93016	13107	16	1	-0.64
fut	93016	13107	3	1	0.51
rousseau	93016	13107	2	1	0.62
pouvait	93016	13107	9	1	0.42
catalyser	93016	13107	1	1	0.85
tournure	93016	13107	1	1	0.85
introspective	93016	13107	1	1	0.85
illustre	93016	13107	7	1	0.40
moignant	93016	13107	2	1	0.62
constant	93016	13107	2	1	0.62
modernes	93016	13107	4	1	0.45
illustr	93016	13107	1	1	0.85
entrem	93016	13107	2	1	0.62
canaliser	93016	13107	3	1	0.51
jacent	93016	13107	1	1	0.85
reporters	93016	13107	11	1	0.47
constamment	93016	13107	3	1	0.51
shumanisation	93016	13107	1	1	0.85
teint	93016	13107	2	1	0.62
luit	93016	13107	1	1	0.85
brin	93016	13107	1	1	0.85
verlaine	93016	13107	1	1	0.85
moigne	93016	13107	4	1	0.45
surgit	93016	13107	2	1	0.62
extraordinairement	93016	13107	1	1	0.85
publi	93016	13107	8	1	0.41
orion	93016	13107	1	1	0.85
oubliez	93016	13107	1	1	0.85
couverte	93016	13107	7	1	0.40
bonne	93016	13107	25	1	-1.04
maintient	93016	13107	3	1	0.51
soudainement	93016	13107	1	1	0.85
tous	93016	13107	67	1	-3.38
enseign	93016	13107	1	1	0.85
gende	93016	13107	2	1	0.62
infortune	93016	13107	2	1	0.62
comprends	93016	13107	2	1	0.62
alise	93016	13107	1	1	0.85
distant	93016	13107	1	1	0.85
admirable	93016	13107	2	1	0.62
dicton	93016	13107	2	1	0.62
bouddhiste	93016	13107	3	1	0.51
loigne	93016	13107	4	1	0.45
croiriez	93016	13107	2	1	0.62
lecteurs	93016	13107	2	1	0.62
soup	93016	13107	1	1	0.85
merg	93016	13107	1	1	0.85
crashera	93016	13107	1	1	0.85
placer	93016	13107	5	1	0.42
finalit	93016	13107	2	1	0.62
dirais	93016	13107	2	1	0.62
adaptable	93016	13107	1	1	0.85
veux	93016	13107	7	1	0.40
renoncez	93016	13107	1	1	0.85
survivez	93016	13107	1	1	0.85
mourez	93016	13107	2	1	0.62
reposer	93016	13107	2	1	0.62
commencez	93016	13107	5	1	0.42
caf	93016	13107	1	1	0.85
vieux	93016	13107	6	1	0.40
cinq	93016	13107	6	1	0.40
petites	93016	13107	7	1	0.40
duit	93016	13107	3	1	0.51
accrocher	93016	13107	3	1	0.51
liette	93016	13107	3	1	0.51
picotin	93016	13107	3	1	0.51
roselyne	93016	13107	1	1	0.85
perdent	93016	13107	1	1	0.85
rah	93016	13107	4	1	0.45
ma	93016	13107	39	1	-1.77
ligne	93016	13107	15	1	-0.60
finissent	93016	13107	3	1	0.51
xxie	93016	13107	1	1	0.85
cle	93016	13107	13	1	0.53
sormais	93016	13107	5	1	0.42
donnons	93016	13107	2	1	0.62
chance	93016	13107	16	1	-0.64
panouir	93016	13107	1	1	0.85
relatives	93016	13107	1	1	0.85
conseille	93016	13107	3	1	0.51
optant	93016	13107	1	1	0.85
prodigu	93016	13107	1	1	0.85
guidera	93016	13107	2	1	0.62
coranique	93016	13107	1	1	0.85
no	93016	13107	4	1	0.45
ayat	93016	13107	1	1	0.85
swt	93016	13107	1	1	0.85
croyants	93016	13107	6	1	0.40
erreurs	93016	13107	3	1	0.51
infuse	93016	13107	1	1	0.85
plan	93016	13107	39	1	-1.77
gique	93016	13107	2	1	0.62
azza	93016	13107	2	1	0.62
wajall	93016	13107	2	1	0.62
perdaient	93016	13107	1	1	0.85
ventuelle	93016	13107	2	1	0.62
victoire	93016	13107	3	1	0.51
chagrin	93016	13107	5	1	0.42
persistait	93016	13107	1	1	0.85
trag	93016	13107	6	1	0.40
checs	93016	13107	9	1	0.42
apparents	93016	13107	1	1	0.85
enregistrer	93016	13107	1	1	0.85
sp	93016	13107	27	1	-1.13
cifique	93016	13107	9	1	0.42
qualit	93016	13107	16	1	-0.64
motive	93016	13107	6	1	0.40
bou	93016	13107	1	1	0.85
bont	93016	13107	6	1	0.40
inattendus	93016	13107	1	1	0.85
occup	93016	13107	4	1	0.45
jarre	93016	13107	6	1	0.40
traditions	93016	13107	2	1	0.62
elie	93016	13107	1	1	0.85
wiesel	93016	13107	1	1	0.85
persister	93016	13107	4	1	0.45
cits	93016	13107	3	1	0.51
rappellent	93016	13107	4	1	0.45
difficile	93016	13107	13	1	0.53
rappeler	93016	13107	9	1	0.42
raviver	93016	13107	1	1	0.85
pessimisme	93016	13107	14	1	-0.56
ambiant	93016	13107	1	1	0.85
choisir	93016	13107	9	1	0.42
incertitudes	93016	13107	6	1	0.40
change	93016	13107	4	1	0.45
us	93016	13107	13	1	0.53
porteurs	93016	13107	3	1	0.51
lange	93016	13107	3	1	0.51
cognitive	93016	13107	18	1	-0.72
investigu	93016	13107	1	1	0.85
alisation	93016	13107	36	1	-1.60
tudiants	93016	13107	2	1	0.62
explique	93016	13107	15	1	-0.60
yann	93016	13107	4	1	0.45
augmentation	93016	13107	3	1	0.51
significative	93016	13107	3	1	0.51
court	93016	13107	6	1	0.40
rencie	93016	13107	2	1	0.62
tromp	93016	13107	4	1	0.45
boundaries	93016	13107	4	1	0.45
trentaine	93016	13107	1	1	0.85
ann	93016	13107	37	1	-1.66
approfondit	93016	13107	1	1	0.85
anticipations	93016	13107	23	1	-0.94
complexe	93016	13107	7	1	0.40
gratitude	93016	13107	3	1	0.51
tay	93016	13107	1	1	0.85
section	93016	13107	5	1	0.42
constat	93016	13107	4	1	0.45
classique	93016	13107	4	1	0.45
adoss	93016	13107	1	1	0.85
principalement	93016	13107	3	1	0.51
approfondir	93016	13107	1	1	0.85
elster	93016	13107	2	1	0.62
cher	93016	13107	9	1	0.42
cise	93016	13107	6	1	0.40
quantifiable	93016	13107	1	1	0.85
engager	93016	13107	11	1	0.47
quent	93016	13107	7	1	0.40
probabilit	93016	13107	15	1	-0.60
termine	93016	13107	1	1	0.85
mesur	93016	13107	2	1	0.62
instrumentale	93016	13107	2	1	0.62
ratoire	93016	13107	3	1	0.51
dent	93016	13107	15	1	-0.60
cessite	93016	13107	5	1	0.42
risent	93016	13107	1	1	0.85
scientifique	93016	13107	13	1	0.53
focalisant	93016	13107	1	1	0.85
articulation	93016	13107	1	1	0.85
synth	93016	13107	3	1	0.51
concernent	93016	13107	4	1	0.45
ments	93016	13107	21	1	-0.85
touchent	93016	13107	2	1	0.62
burger	93016	13107	2	1	0.62
guider	93016	13107	3	1	0.51
quivalent	93016	13107	3	1	0.51
sommes	93016	13107	40	1	-1.82
nement	93016	13107	18	1	-0.72
survienne	93016	13107	1	1	0.85
certaine	93016	13107	26	1	-1.09
nourri	93016	13107	2	1	0.62
syst	93016	13107	11	1	0.47
matiquement	93016	13107	2	1	0.62
dissout	93016	13107	1	1	0.85
mises	93016	13107	7	1	0.40
souligner	93016	13107	1	1	0.85
nourrit	93016	13107	4	1	0.45
alisera	93016	13107	1	1	0.85
frijda	93016	13107	1	1	0.85
connaissance	93016	13107	13	1	0.53
comportemental	93016	13107	2	1	0.62
sum	93016	13107	8	1	0.41
parfaite	93016	13107	2	1	0.62
dicteur	93016	13107	1	1	0.85
rientielle	93016	13107	2	1	0.62
privil	93016	13107	8	1	0.41
gi	93016	13107	4	1	0.45
delas	93016	13107	10	1	0.44
partag	93016	13107	6	1	0.40
reposant	93016	13107	8	1	0.41
concernant	93016	13107	14	1	-0.56
montrer	93016	13107	14	1	-0.56
sujette	93016	13107	1	1	0.85
formation	93016	13107	2	1	0.62
permanente	93016	13107	2	1	0.62
intelligente	93016	13107	1	1	0.85
naissance	93016	13107	7	1	0.40
danger	93016	13107	5	1	0.42
pleines	93016	13107	1	1	0.85
localis	93016	13107	1	1	0.85
distinguant	93016	13107	1	1	0.85
obtention	93016	13107	5	1	0.42
versus	93016	13107	3	1	0.51
montrant	93016	13107	4	1	0.45
angoissantes	93016	13107	2	1	0.62
pendamment	93016	13107	3	1	0.51
environnement	93016	13107	17	1	-0.68
veloppent	93016	13107	3	1	0.51
sentent	93016	13107	6	1	0.40
construction	93016	13107	9	1	0.42
transforme	93016	13107	2	1	0.62
langue	93016	13107	11	1	0.47
webb	93016	13107	1	1	0.85
limit	93016	13107	4	1	0.45
circonscrit	93016	13107	1	1	0.85
inexistantes	93016	13107	1	1	0.85
ancrer	93016	13107	1	1	0.85
recherch	93016	13107	4	1	0.45
rend	93016	13107	8	1	0.41
caduque	93016	13107	1	1	0.85
retravaill	93016	13107	2	1	0.62
culpabilit	93016	13107	2	1	0.62
grant	93016	13107	6	1	0.40
circularit	93016	13107	1	1	0.85
saisit	93016	13107	1	1	0.85
recomposer	93016	13107	1	1	0.85
composante	93016	13107	6	1	0.40
essentiellement	93016	13107	5	1	0.42
tangible	93016	13107	2	1	0.62
revue	93016	13107	4	1	0.45
vanfasse	93016	13107	2	1	0.62
deneen	93016	13107	2	1	0.62
lecture	93016	13107	24	1	-0.99
saisir	93016	13107	4	1	0.45
rorty	93016	13107	3	1	0.51
limiterons	93016	13107	1	1	0.85
atoire	93016	13107	2	1	0.62
mettant	93016	13107	5	1	0.42
sursaut	93016	13107	2	1	0.62
mocratique	93016	13107	3	1	0.51
structuration	93016	13107	3	1	0.51
ajouter	93016	13107	5	1	0.42
pandre	93016	13107	2	1	0.62
as	93016	13107	8	1	0.41
partout	93016	13107	2	1	0.62
motiver	93016	13107	1	1	0.85
autrui	93016	13107	4	1	0.45
pansement	93016	13107	1	1	0.85
provisoire	93016	13107	2	1	0.62
tablissement	93016	13107	5	1	0.42
parole	93016	13107	7	1	0.40
population	93016	13107	2	1	0.62
entreprise	93016	13107	6	1	0.40
candidats	93016	13107	2	1	0.62
adh	93016	13107	7	1	0.40
sion	93016	13107	7	1	0.40
provoque	93016	13107	1	1	0.85
oublie	93016	13107	6	1	0.40
certainement	93016	13107	7	1	0.40
remets	93016	13107	2	1	0.62
comparer	93016	13107	2	1	0.62
suffit	93016	13107	4	1	0.45
caresser	93016	13107	1	1	0.85
redresser	93016	13107	1	1	0.85
gourou	93016	13107	1	1	0.85
para	93016	13107	4	1	0.45
associait	93016	13107	1	1	0.85
superstition	93016	13107	1	1	0.85
ethique	93016	13107	1	1	0.85
entraider	93016	13107	1	1	0.85
cache	93016	13107	1	1	0.85
nourrissons	93016	13107	1	1	0.85
familier	93016	13107	1	1	0.85
enfants	93016	13107	16	1	-0.64
grandissent	93016	13107	2	1	0.62
pensant	93016	13107	1	1	0.85
jeunes	93016	13107	34	1	-1.50
gies	93016	13107	14	1	-0.56
similaires	93016	13107	1	1	0.85
grandement	93016	13107	1	1	0.85
faciliter	93016	13107	3	1	0.51
attitudes	93016	13107	7	1	0.40
dites	93016	13107	5	1	0.42
technique	93016	13107	3	1	0.51
expliquez	93016	13107	1	1	0.85
observer	93016	13107	3	1	0.51
ponds	93016	13107	1	1	0.85
cessez	93016	13107	3	1	0.51
tais	93016	13107	10	1	0.44
dos	93016	13107	4	1	0.45
lettre	93016	13107	3	1	0.51
gardent	93016	13107	2	1	0.62
sortir	93016	13107	16	1	-0.64
seigneur	93016	13107	8	1	0.41
retrouvent	93016	13107	1	1	0.85
appuie	93016	13107	3	1	0.51
nourrissez	93016	13107	2	1	0.62
dirait	93016	13107	2	1	0.62
pair	93016	13107	1	1	0.85
continuer	93016	13107	16	1	-0.64
respirer	93016	13107	3	1	0.51
connus	93016	13107	1	1	0.85
fonctionne	93016	13107	3	1	0.51
craignons	93016	13107	1	1	0.85
chec	93016	13107	14	1	-0.56
familiarisent	93016	13107	1	1	0.85
uns	93016	13107	2	1	0.62
alisant	93016	13107	1	1	0.85
priver	93016	13107	1	1	0.85
surnaturelle	93016	13107	1	1	0.85
quantifiables	93016	13107	1	1	0.85
rapporter	93016	13107	1	1	0.85
instinct	93016	13107	1	1	0.85
conjoint	93016	13107	2	1	0.62
insurge	93016	13107	1	1	0.85
pousser	93016	13107	1	1	0.85
sire	93016	13107	10	1	0.44
assimiler	93016	13107	1	1	0.85
voyons	93016	13107	14	1	-0.56
soyons	93016	13107	1	1	0.85
appelons	93016	13107	3	1	0.51
dessus	93016	13107	2	1	0.62
pousse	93016	13107	15	1	-0.60
sme	93016	13107	4	1	0.45
volutionnaire	93016	13107	3	1	0.51
met	93016	13107	17	1	-0.68
plaisir	93016	13107	7	1	0.40
tromper	93016	13107	1	1	0.85
ent	93016	13107	4	1	0.45
destructeur	93016	13107	2	1	0.62
pieu	93016	13107	1	1	0.85
mensonge	93016	13107	1	1	0.85
stes	93016	13107	1	1	0.85
immoraux	93016	13107	1	1	0.85
suivant	93016	13107	9	1	0.42
optimiste	93016	13107	17	1	-0.68
conclure	93016	13107	7	1	0.40
soutenir	93016	13107	8	1	0.41
aborde	93016	13107	1	1	0.85
question	93016	13107	41	1	-1.88
astrazeneca	93016	13107	4	1	0.45
quipe	93016	13107	4	1	0.45
donnent	93016	13107	7	1	0.40
eu	93016	13107	22	1	-0.89
entendre	93016	13107	2	1	0.62
comit	93016	13107	3	1	0.51
dis	93016	13107	11	1	0.47
indiff	93016	13107	3	1	0.51
remment	93016	13107	4	1	0.45
rale	93016	13107	11	1	0.47
maximes	93016	13107	1	1	0.85
pris	93016	13107	5	1	0.42
aporie	93016	13107	1	1	0.85
demeurer	93016	13107	1	1	0.85
gegenwart	93016	13107	1	1	0.85
hegel	93016	13107	10	1	0.44
discerne	93016	13107	1	1	0.85
effectu	93016	13107	5	1	0.42
ineffectif	93016	13107	1	1	0.85
indique	93016	13107	5	1	0.42
quelques	93016	13107	24	1	-0.99
majeurs	93016	13107	4	1	0.45
continu	93016	13107	6	1	0.40
mouvant	93016	13107	1	1	0.85
entendons	93016	13107	1	1	0.85
cularis	93016	13107	1	1	0.85
remarque	93016	13107	7	1	0.40
type	93016	13107	9	1	0.42
rable	93016	13107	11	1	0.47
sempiternellement	93016	13107	1	1	0.85
saturnien	93016	13107	1	1	0.85
association	93016	13107	5	1	0.42
ductiblement	93016	13107	1	1	0.85
chirement	93016	13107	1	1	0.85
indialectisable	93016	13107	1	1	0.85
profit	93016	13107	1	1	0.85
fore	93016	13107	1	1	0.85
cavit	93016	13107	1	1	0.85
sorte	93016	13107	20	1	-0.80
envisag	93016	13107	4	1	0.45
garantie	93016	13107	6	1	0.40
modalit	93016	13107	10	1	0.44
accomplie	93016	13107	1	1	0.85
exhibe	93016	13107	1	1	0.85
conciliation	93016	13107	4	1	0.45
alternative	93016	13107	2	1	0.62
renonc	93016	13107	1	1	0.85
couple	93016	13107	2	1	0.62
inconstante	93016	13107	2	1	0.62
bel	93016	13107	1	1	0.85
arrive	93016	13107	8	1	0.41
autour	93016	13107	17	1	-0.68
portent	93016	13107	3	1	0.51
laiss	93016	13107	7	1	0.40
stimulant	93016	13107	2	1	0.62
songe	93016	13107	3	1	0.51
racinable	93016	13107	1	1	0.85
habite	93016	13107	5	1	0.42
lendemains	93016	13107	5	1	0.42
harmonieusement	93016	13107	2	1	0.62
mondialis	93016	13107	1	1	0.85
hoffnung	93016	13107	7	1	0.40
exacerbation	93016	13107	1	1	0.85
hassidique	93016	13107	1	1	0.85
carnets	93016	13107	1	1	0.85
spirituels	93016	13107	5	1	0.42
explications	93016	13107	3	1	0.51
lesquelles	93016	13107	7	1	0.40
raclite	93016	13107	2	1	0.62
courant	93016	13107	3	1	0.51
cesser	93016	13107	1	1	0.85
titrant	93016	13107	1	1	0.85
troit	93016	13107	2	1	0.62
unit	93016	13107	9	1	0.42
vitalement	93016	13107	1	1	0.85
souverainet	93016	13107	2	1	0.62
finitivement	93016	13107	1	1	0.85
affaiblit	93016	13107	1	1	0.85
intimement	93016	13107	1	1	0.85
nther	93016	13107	1	1	0.85
anders	93016	13107	3	1	0.51
couvrent	93016	13107	2	1	0.62
pandore	93016	13107	9	1	0.42
violence	93016	13107	10	1	0.44
semblerait	93016	13107	1	1	0.85
riser	93016	13107	3	1	0.51
puisqu	93016	13107	5	1	0.42
monoth	93016	13107	1	1	0.85
isme	93016	13107	1	1	0.85
dessine	93016	13107	1	1	0.85
paysage	93016	13107	1	1	0.85
rechercher	93016	13107	20	1	-0.80
distinguent	93016	13107	1	1	0.85
messie	93016	13107	6	1	0.40
diverge	93016	13107	1	1	0.85
venir	93016	13107	21	1	-0.85
constate	93016	13107	2	1	0.62
ontologique	93016	13107	3	1	0.51
interrogation	93016	13107	1	1	0.85
velopp	93016	13107	12	1	0.50
ancre	93016	13107	5	1	0.42
corps	93016	13107	19	1	-0.76
acc	93016	13107	16	1	-0.64
illusionner	93016	13107	1	1	0.85
suscite	93016	13107	1	1	0.85
apprentissage	93016	13107	8	1	0.41
crucial	93016	13107	3	1	0.51
sied	93016	13107	1	1	0.85
gles	93016	13107	3	1	0.51
atrice	93016	13107	1	1	0.85
attachement	93016	13107	2	1	0.62
hauteur	93016	13107	3	1	0.51
affirmative	93016	13107	1	1	0.85
exclut	93016	13107	2	1	0.62
pareille	93016	13107	4	1	0.45
rosset	93016	13107	2	1	0.62
refuge	93016	13107	2	1	0.62
ressources	93016	13107	5	1	0.42
projection	93016	13107	2	1	0.62
capable	93016	13107	17	1	-0.68
rendre	93016	13107	14	1	-0.56
provisoirement	93016	13107	2	1	0.62
inutile	93016	13107	3	1	0.51
impr	93016	13107	8	1	0.41
visible	93016	13107	4	1	0.45
chauffer	93016	13107	2	1	0.62
main	93016	13107	19	1	-0.76
promouvoir	93016	13107	5	1	0.42
rez	93016	13107	8	1	0.41
tablir	93016	13107	9	1	0.42
commun	93016	13107	11	1	0.47
hi	93016	13107	2	1	0.62
rarchies	93016	13107	2	1	0.62
nihilistes	93016	13107	1	1	0.85
ternissent	93016	13107	1	1	0.85
aplanit	93016	13107	1	1	0.85
culte	93016	13107	1	1	0.85
exister	93016	13107	2	1	0.62
vide	93016	13107	6	1	0.40
dients	93016	13107	1	1	0.85
trompeur	93016	13107	1	1	0.85
religions	93016	13107	5	1	0.42
hantologie	93016	13107	1	1	0.85
peupl	93016	13107	1	1	0.85
fatigu	93016	13107	3	1	0.51
voeux	93016	13107	7	1	0.40
jeunesse	93016	13107	2	1	0.62
regrets	93016	13107	1	1	0.85
remords	93016	13107	1	1	0.85
vaccin	93016	13107	1	1	0.85
luisants	93016	13107	1	1	0.85
tours	93016	13107	1	1	0.85
promettant	93016	13107	1	1	0.85
demain	93016	13107	13	1	0.53
volte	93016	13107	6	1	0.40
epict	93016	13107	2	1	0.62
immanence	93016	13107	1	1	0.85
insurrection	93016	13107	2	1	0.62
flexions	93016	13107	3	1	0.51
naturellement	93016	13107	6	1	0.40
maxime	93016	13107	3	1	0.51
synonyme	93016	13107	3	1	0.51
paradoxalement	93016	13107	2	1	0.62
subjective	93016	13107	3	1	0.51
lier	93016	13107	5	1	0.42
